Count,Name,Foil,Edition,Condition,Language,MKM Price
1,Apostle of Purifying Light,,Core Set 2020,NM,English,
2,Apprentice Sharpshooter,,Innistrad: Crimson Vow,NM,English,
2,Arachnoform,,Kaldheim,NM,English,
1,Arborea Pegasus,,Adventures in the Forgotten Realms,NM,English,
1,Arcane Infusion,,Innistrad Midnight Hunt,NM,English,
1,Arcane Investigator,,Adventures in the Forgotten Realms,NM,English,
1,Arcane Sanctum,,Commander 2016,NM,English,
1,Arcane Subtraction,,Strixhaven: School of Mages,NM,English,
3,Arcbound Mouser,,Modern Horizons 2,NM,English,
1,Arcbound Prototype,,Modern Horizons 2,NM,English,
2,Arcbound Slasher,,Modern Horizons 2,NM,English,
3,Arcbound Tracker,,Modern Horizons 2,NM,English,
1,Arcbound Whelp,,Modern Horizons 2,NM,English,
1,Archdemon of Paliano,,Conspiracy: Take the Crown,NM,English,
2,Archfiend of Sorrows,,Modern Horizons 2,NM,English,
1,Archipelagore,,Ikoria: Lair of Behemoths,NM,English,
1,Archipelagore,foil,Ikoria: Lair of Behemoths,NM,English,
2,Archon of Falling Stars,,Theros: Beyond Death,NM,English,
6,Archway Commons,,Strixhaven: School of Mages,NM,English,
1,Ardenvale Paladin,,Throne of Eldraine,NM,English,
1,Argivian Cavalier,,Dominaria United,NM,English,
3,Argivian Phalanx,,Dominaria United,NM,English,
3,Arlinn's Wolf,,War of the Spark,NM,English,
1,Armguard Familiar,,Kamigawa: Neon Dynasty,NM,English,
1,Armillary Sphere,,Commander 2017,NM,English,
3,Armory Veteran,,Adventures in the Forgotten Realms,NM,English,
1,Arni Brokenbrow,,Kaldheim,NM,English,
2,Arrogant Outlaw,,Innistrad Midnight Hunt,NM,English,
1,Arrogant Poet,,Strixhaven: School of Mages,NM,English,
1,Artful Takedown,,Guilds of Ravnica,NM,English,
1,Artillery Blast,,Dominaria United,NM,English,
1,Ascendant Spirit,foil,Prerelease Cards,NM,English,
3,Ashiok's Skulker,,War of the Spark,NM,English,
2,Aspect of Lamprey,,Theros: Beyond Death,NM,English,
1,Aspect of Manticore,,Theros: Beyond Death,NM,English,
1,Assassin's Ink,,Kamigawa: Neon Dynasty,NM,English,
1,Astral Drift (Alternate Art),foil,Prerelease Cards,NM,English,
1,Attended Socialite,,Streets of New Capenna,NM,English,
1,Auger Spree,,Modern Masters 2017,NM,English,
1,Augury Raven,,Kaldheim,NM,English,
1,Aura Mutation,,Commander 2016,NM,English,
1,Automated Artificer,,Kamigawa: Neon Dynasty,NM,English,
3,Automatic Librarian,,Dominaria United,NM,English,
2,Aven Eternal,,War of the Spark,NM,English,
1,Aven Heartstabber (Foil),foil,Streets of New Capenna,NM,English,
1,Aven Riftwatcher,,Time Spiral Remastered,NM,English,
1,Avian Oddity,,Ikoria: Lair of Behemoths,NM,English,
1,Axgard Braggart,,Kaldheim,NM,English,
1,Axgard Cavalry,,Kaldheim,NM,English,
2,Azra Smokeshaper,,Modern Horizons,SP,English,
2,Backstreet Bruiser,,Streets of New Capenna,NM,English,
2,Backup Agent,,Streets of New Capenna,NM,English,
1,Bag of Holding,,Adventures in the Forgotten Realms,NM,English,
4,Baithook Angler // Hook-Haunt Drifter,,Innistrad Midnight Hunt,NM,English,
1,Balduvian Atrocity,,Dominaria United,NM,English,
1,Baleful Beholder,,Adventures in the Forgotten Realms,NM,English,
1,Ballista Watcher,,Innistrad: Crimson Vow,NM,English,
1,Ballroom Brawlers,,Streets of New Capenna,NM,English,
1,"Balmor, Battlemage Captain (Showcase)",,Dominaria United,NM,English,
1,Bamboo Grove Archer,,Kamigawa: Neon Dynasty,NM,English,
3,Band Together,,War of the Spark,NM,English,
1,Banishing Light,,Theros: Beyond Death,NM,English,
2,Bannerhide Krushok,,Modern Horizons 2,NM,English,
1,Baral's Expertise,,Aether Revolt,NM,English,
1,Barkweave Crusher,,Dominaria United,NM,English,
1,Barony Vampire,,Core Set 2020,NM,English,
1,Barren Moor,,Commander 2015,NM,English,
1,Basalt Ravager,,Kaldheim,NM,English,
1,Base Camp,,Zendikar Rising,NM,English,
1,Basilica Bell-Haunt,foil,Guilds of Ravnica,NM,English,
1,Basking Rootwalla,,"Duel Decks Anthology, Garruk vs. Liliana",NM,English,
2,Bat Whisperer,,Innistrad Midnight Hunt,NM,English,
1,Batterbone,,Modern Horizons 2,NM,English,
1,Battering Sliver,,Time Spiral Remastered,NM,English,
1,Battle Plan,,Modern Horizons 2,NM,English,
2,Battle-Rage Blessing,,Dominaria United,NM,English,
2,Battlefield Promotion,,War of the Spark,NM,English,
1,Battlefield Raptor,,Kaldheim,NM,English,
1,Battlefly Swarm,,Dominaria United,NM,English,
1,Battlefly Swarm,foil,Dominaria United,NM,English,
1,Bearer of Memory,,Kamigawa: Neon Dynasty,NM,English,
2,Become Immense,,Khans of Tarkir,NM,English,
1,Befriending the Moths // Imperial Moth,,Kamigawa: Neon Dynasty,NM,English,
1,Befuddle,,Core Set 2020,NM,English,
4,Bellowing Elk,,Modern Horizons,NM,English,
2,Beloved Beggar // Generous Soul,,Innistrad Midnight Hunt,NM,English,
1,Benalish Cavalry,,Time Spiral Remastered,NM,English,
2,Berg Strider,,Kaldheim,NM,English,
4,Beskir Shieldmate,,Kaldheim,NM,English,
1,Bestial Menace,foil,Modern Masters 2015,NM,English,
1,Bewilder,,Time Spiral Remastered,NM,English,
4,Biblioplex Assistant,,Strixhaven: School of Mages,NM,English,
4,Big Play,,Strixhaven: School of Mages,NM,English,
1,Bind the Monster,,Kaldheim,NM,English,
2,Biolume Egg // Biolume Serpent,,Innistrad: Crimson Vow,NM,English,
1,Biomantic Mastery,,Commander 2015,NM,English,
1,Biomathematician,,Strixhaven: School of Mages,NM,English,
1,Bird Admirer // Wing Shredder,,Innistrad Midnight Hunt,NM,English,
2,Bird Admirer // Wing Shredder (Showcase),,Innistrad Midnight Hunt,NM,English,
1,Bite Down,,Dominaria United,NM,English,
1,Black Dragon,,Adventures in the Forgotten Realms,NM,English,
1,Blackbloom Rogue // Blackbloom Bog,,Zendikar Rising,NM,English,
2,Bladeback Sliver,,Modern Horizons,NM,English,
2,Bladebrand,,Innistrad Midnight Hunt,NM,English,
1,Bleeding Edge,,War of the Spark,NM,English,
1,Bleeding Edge,,War of the Spark,NM,English,
1,Blessed Alliance,,Eldritch Moon,NM,English,
1,Blighted Cataract,,Battle for Zendikar,NM,English,
1,Blighted Fen,,FNM Promos,NM,English,
1,Blind Creeper,,Fifth Dawn,NM,English,
2,Blindblast,,War of the Spark,NM,English,
1,Blinding Geist // Spectral Binding,,Innistrad: Crimson Vow,NM,English,
1,Blink Dog,,Adventures in the Forgotten Realms,NM,English,
2,Blisterspit Gremlin,,Ikoria: Lair of Behemoths,NM,English,
3,Blitz Leech,,Ikoria: Lair of Behemoths,NM,English,
1,Blitz of the Thunder-Raptor,foil,Ikoria: Lair of Behemoths,NM,English,
1,Blood Age General,,Strixhaven: School of Mages,NM,English,
1,Blood Bairn,,Commander 2015,NM,English,
1,Blood Baron of Vizkopa,,Dragon's Maze,NM,English,
1,Blood Beckoning,,Zendikar Rising,NM,English,
1,Blood Beckoning,,Zendikar Rising,NM,English,
4,Blood Curdle,,Ikoria: Lair of Behemoths,NM,English,
1,Blood Hypnotist (Showcase),,Innistrad: Crimson Vow,NM,English,
1,Blood Price,foil,Zendikar Rising,NM,English,
2,Bloodcrazed Socialite,,Innistrad: Crimson Vow,NM,English,
1,Bloodsworn Squire // Bloodsworn Knight,,Innistrad: Crimson Vow,NM,English,
1,Bloodtallow Candle,,Dominaria,NM,English,
1,Bloodthirsty Blade,,Commander 2019,NM,English,
2,Bloodtithe Collector,,Innistrad Midnight Hunt,NM,English,
1,Bloody Betrayal (Foil),foil,Innistrad: Crimson Vow,NM,English,
2,Bloom Hulk,,War of the Spark,NM,English,
2,Blue Dragon,,Adventures in the Forgotten Realms,NM,English,
1,Body Dropper,,Streets of New Capenna,NM,English,
1,Bog Badger,,Dominaria United,NM,English,
1,Bog Naughty,foil,Throne of Eldraine,NM,English,
1,Bog Naughty,,Throne of Eldraine,NM,English,
3,Bogardan Dragonheart,,Modern Horizons,NM,English,
1,Bold Impaler,,Eldritch Moon,NM,English,
2,Bond of Passion,,War of the Spark,NM,English,
1,Bond of Revival,,War of the Spark,NM,English,
2,Bone Pit Brute,,Core Set 2021,NM,English,
1,Bone Shards (Retro Frame),,Modern Horizons 2,NM,English,
1,Bone Splinters,,Core Set 2020,NM,English,
2,Boneclad Necromancer,,Core Set 2020,NM,English,
1,Boon of Emrakul,foil,Eldritch Moon,NM,English,
1,Boon of Safety,,Streets of New Capenna,NM,English,
1,Boot Nipper,,Ikoria: Lair of Behemoths,NM,English,
3,Borderland Explorer,,Conspiracy: Take the Crown,NM,English,
2,Boreal Elemental,,Core Set 2020,NM,English,
1,Boreal Outrider,foil,Kaldheim,NM,English,
1,Boros Challenger,,Guilds of Ravnica,NM,English,
1,Borrowed Malevolence,,Eldritch Moon,NM,English,
1,Bortuk Bonerattle (Showcase),,Dominaria United,NM,English,
1,Botanical Plaza,,Streets of New Capenna,NM,English,
2,Bottle Golems,,Modern Horizons 2,NM,English,
1,Bouncer's Beatdown,,Streets of New Capenna,NM,English,
2,Bound in Gold,,Kaldheim,NM,English,
3,Bounding Wolf,,Innistrad Midnight Hunt,NM,English,
1,Bow of Nylea,,Theros,NM,German,
1,Brainstone,,Modern Horizons 2,NM,English,
4,Bramble Armor,,Innistrad Midnight Hunt,NM,English,
2,Bramble Armor,,Innistrad: Crimson Vow,NM,English,
1,Bramble Wurm,,Innistrad: Crimson Vow,NM,English,
2,Brazen Dwarf,,Adventures in the Forgotten Realms,NM,English,
1,Brazen Wolves,,Eldritch Moon,NM,English,
2,Break the Ice,,Modern Horizons 2,NM,English,
1,Break Ties,,Modern Horizons 2,NM,English,
2,Breakneck Berserker,,Kaldheim,NM,English,
1,Breath of Darigaaz,,Commander 2015,NM,English,
3,Breathless Knight,,Modern Horizons 2,NM,English,
1,Brightwood Tracker,,Core Set 2020,NM,English,
3,Brimstone Vandal,,Innistrad Midnight Hunt,NM,English,
1,Brimstone Volley,,Innistrad,NM,English,
1,Brine Giant,,Theros: Beyond Death,NM,English,
2,Brinebarrow Intruder,,Kaldheim,NM,English,
1,Brineborn Cutthroat,,Core Set 2020,NM,English,
2,Bristling Boar,,Ikoria: Lair of Behemoths,NM,English,
1,Broken Wings,,Zendikar Rising,NM,English,
2,Broken Wings,,Kaldheim,NM,English,
1,Broken Wings,,Streets of New Capenna,NM,English,
2,Brokers Initiate,,Streets of New Capenna,NM,English,
1,Bronze Sword,,Theros: Beyond Death,NM,English,
1,Bronzebeak Moa,foil,Modern Masters 2017,NM,English,
1,Bronzeplate Boar,,Kamigawa: Neon Dynasty,NM,English,
1,Brushfire Elemental (Showcase),,Zendikar Rising,NM,English,
1,Brushfire Elemental (Showcase),foil,Zendikar Rising,NM,English,
1,Brutal Expulsion,,Battle for Zendikar,LP,English,
1,Bubble Snare,,Zendikar Rising,NM,English,
1,Bulette,,Adventures in the Forgotten Realms,NM,English,
1,Bulette (Showcase),,Adventures in the Forgotten Realms,NM,English,
1,Bull's Strength,,Adventures in the Forgotten Realms,NM,English,
3,Bulwark Giant,,War of the Spark,NM,English,
3,Burdened Aerialist,,Modern Horizons 2,NM,English,
1,Burly Breaker // Dire-Strain Demolisher,,Innistrad Midnight Hunt,NM,English,
2,Burly Breaker // Dire-Strain Demolisher (Showcase),,Innistrad Midnight Hunt,NM,English,
2,Burn the Accursed,,Innistrad Midnight Hunt,NM,English,
1,Burning-Yard Trainer,,Throne of Eldraine,NM,English,
3,Burrog Befuddler,,Strixhaven: School of Mages,NM,English,
5,Bury in Books,,Strixhaven: School of Mages,NM,English,
2,Bushmeat Poacher,,Ikoria: Lair of Behemoths,NM,English,
2,Cabaretti Charm,,Streets of New Capenna,NM,English,
2,Cabaretti Initiate,,Streets of New Capenna,NM,English,
1,Cage of Hands,,Commander 2015,NM,English,
1,Call of the Conclave,foil,Modern Masters 2017,NM,English,
1,Call the Coppercoats,,Commander 2020,NM,English,
1,Callous Dismissal,,War of the Spark,NM,English,
2,Campus Guide,,Strixhaven: School of Mages,NM,English,
1,Canal Courier,,Conspiracy: Take the Crown,NM,English,
2,Candlegrove Witch,,Innistrad Midnight Hunt,NM,English,
2,Candlegrove Witch (Showcase),,Innistrad Midnight Hunt,NM,English,
2,Candlelit Cavalry,,Innistrad Midnight Hunt,NM,English,
3,Candletrap,,Innistrad Midnight Hunt,NM,English,
1,Candletrap,foil,Innistrad Midnight Hunt,NM,English,
1,Canyon Jerboa (Showcase),foil,Zendikar Rising,NM,English,
1,Capenna Express,,Streets of New Capenna,NM,English,
2,Caprichrome,,Modern Horizons 2,NM,English,
1,Captain of the Watch,,Duel Decks: Elspeth vs. Kiora,NM,English,
1,Captain Ripley Vance,,Modern Horizons 2,NM,English,
2,Captain's Call,,Dominaria United,NM,English,
1,Captivating Gyre,,Core Set 2020,NM,English,
1,Capture Sphere,foil,Ikoria: Lair of Behemoths,NM,English,
2,Capture Sphere,,Ikoria: Lair of Behemoths,NM,English,
2,Capture Sphere,,Core Set 2021,NM,English,
1,Captured by Lagacs,,Modern Horizons 2,NM,English,
1,Careless Celebrant,foil,Theros: Beyond Death,NM,English,
1,Carnival // Carnage,,Ravnica Allegiance,NM,English,
1,Carnival // Carnage,foil,Ravnica Allegiance,NM,English,
1,Cartographer's Survey,,Innistrad: Crimson Vow,NM,English,
1,Cascade Seer,,Zendikar Rising,NM,English,
1,Case the Joint,,Streets of New Capenna,NM,English,
1,Cataclysmic Gearhulk,,Kaladesh,NM,English,
3,Cathartic Reunion,,Ikoria: Lair of Behemoths,NM,English,
1,Cathedral of War,,Buy-a-Box Promos,NM,French,
1,Catti-brie of Mirthal Hall,,Forgotten Realms Commander,NM,English,
1,Cavern Whisperer,,Ikoria: Lair of Behemoths,NM,English,
3,Celebrity Fencer,,Streets of New Capenna,NM,English,
1,Celestial Archon,,Commander 2015,NM,English,
2,Celestial Enforcer,,Core Set 2021,NM,English,
1,Celestial Regulator,,Streets of New Capenna,NM,English,
1,Celestial Unicorn,,Adventures in the Forgotten Realms,NM,English,
4,Celestus Sanctifier,,Innistrad Midnight Hunt,NM,English,
1,Cement Shoes,,Streets of New Capenna,NM,English,
2,Centaur Nurturer,,War of the Spark,NM,English,
2,Ceremonial Groundbreaker,,Streets of New Capenna,NM,English,
1,Certain Death,foil,Eldritch Moon,NM,English,
1,Chainer's Torment,,Dominaria,NM,English,
1,Chainweb Aracnir,foil,Theros: Beyond Death,NM,English,
2,Chainwhip Cyclops,,War of the Spark,NM,English,
1,Chandra's Magmut,,Core Set 2021,NM,English,
2,Chandra's Pyrohelix,,War of the Spark,NM,English,
1,Chandra's Pyrohelix,,Kaladesh,NM,English,
1,Change of Fortunes (Foil) (Prerelease),foil,Innistrad Crimson Vow Promos,NM,English,
1,Channeler Initiate,foil,Amonkhet,NM,English,
2,Chaplain of Alms // Chapel Shieldgeist,,Innistrad Midnight Hunt,NM,English,
1,Charge Through,,Strixhaven: School of Mages,NM,English,
1,Charging Cinterhorn,,Commander 2016,NM,English,
1,Charismatic Vanguard,,Dominaria United,NM,English,
2,Charity Extractor,,War of the Spark,NM,English,
1,Charmed Sleep,,Throne of Eldraine,NM,English,
2,Charmed Sleep,,Adventures in the Forgotten Realms,NM,English,
1,Charmed Sleep,,Throne of Eldraine,NM,English,
2,Charmed Stray,,War of the Spark,NM,English,
1,Chatterstorm,,Modern Horizons 2,NM,English,
2,Checkpoint Officer,,Ikoria: Lair of Behemoths,NM,English,
1,Checkpoint Officer,,Ikoria: Lair of Behemoths,NM,English,
3,Chillerpillar,,Modern Horizons,NM,English,
1,Chilling Trap,,Zendikar Rising,NM,English,
1,Chittering Harvester (Alternate Art),,Ikoria: Lair of Behemoths,NM,English,
1,Choking Miasma,,Dominaria United,NM,English,
1,Choking Tethers,,Modern Horizons,NM,English,
1,Choking Tethers,,Modern Horizons,NM,English,
4,Chrome Courier,,Modern Horizons 2,NM,English,
3,Cinderheart Giant,,Kaldheim,NM,English,
3,Circle of the Moon Druid,,Adventures in the Forgotten Realms,NM,English,
1,Citadel Castellan,foil,Magic Origins,NM,English,
1,Citadel Siege,,Commander 2016,NM,English,
1,Citizen's Arrest,,Dominaria United,NM,English,
3,Civic Gardener,,Streets of New Capenna,NM,English,
4,Civil Servant,,Streets of New Capenna,NM,English,
1,Clamor Shaman,,Ravnica Allegiance,NM,English,
1,Clan Defiance,,Commander 2016,NM,English,
1,Clan Guildmage,,Ravnica Allegiance,NM,English,
1,Clarion Cathars,,Innistrad Midnight Hunt,NM,English,
1,Clash of Titans,,Ikoria: Lair of Behemoths,NM,English,
1,Cleanup Crew,,Streets of New Capenna,NM,English,
1,Clear Shot,,Innistrad Midnight Hunt,NM,English,
1,Cleaving Skyrider,,Dominaria United,NM,English,
4,Cleaving Sliver,,Modern Horizons,NM,English,
1,Cleric of Chill Depths,,Zendikar Rising,NM,English,
4,Clever Conjurer,,Adventures in the Forgotten Realms,NM,English,
1,Cliffhaven Kitesail,,Zendikar Rising,NM,English,
3,Cliffhaven Sell-Sword,,Zendikar Rising,NM,English,
1,Cloaked Cadet (foil),foil,Innistrad: Crimson Vow,NM,English,
3,Clockwork Drawbridge,,Dominaria United,NM,English,
2,Closing Statement,,Strixhaven: School of Mages,NM,English,
1,Cloudpiercer,,Ikoria: Lair of Behemoths,NM,English,
2,Codespell Cleric,,Kaldheim,NM,English,
5,Cogwork Archivist,,Strixhaven: School of Mages,NM,English,
1,Cogwork Librarian,,Conspiracy,NM,English,
1,Colossal Growth,,Dominaria United,NM,English,
3,Combat Professor,,Strixhaven: School of Mages,NM,English,
1,Combat Research,,Dominaria United,NM,English,
1,Command the Dreadhorde,foil,War of the Spark,NM,English,
1,Common Courtesy,,Unglued,NM,English,
3,Compelled Duel,,Adventures in the Forgotten Realms,NM,English,
4,Component Collector,,Innistrad Midnight Hunt,NM,English,
3,Compulsive Research,,Conspiracy,NM,English,
1,Compulsive Research (Borderless),,Strixhaven Mystical Archive,NM,English,
1,Conclave Cavalier,foil,Guilds of Ravnica,NM,English,
3,Concordia Pegasus,,Core Set 2021,NM,English,
1,Constable of the Realm,,Modern Horizons 2,NM,English,
1,Contact Other Plane,,Adventures in the Forgotten Realms,NM,English,
1,Contortionist Troupe,,Innistrad Midnight Hunt,NM,English,
1,Control Magic,,Eternal Masters,SP,English,
1,Conviction,,Aether Revolt,NM,English,
2,Convolute,,Core Set 2020,NM,English,
3,Convolute,,Ikoria: Lair of Behemoths,NM,English,
1,Convolute,,Eldritch Moon,NM,English,
3,Coordinated Charge,,Ikoria: Lair of Behemoths,NM,English,
2,Corpse Churn,,Ikoria: Lair of Behemoths,NM,English,
1,Corpulent Corpse,,Time Spiral Remastered,NM,English,
1,Corridor Monitor,,Throne of Eldraine,NM,English,
1,Coutier's Briefcase,,Streets of New Capenna,NM,English,
1,Covert Technician,,Kamigawa: Neon Dynasty,NM,English,
3,Crack Open,,Modern Horizons 2,NM,English,
1,Crackling Doom,,Commander 2017,NM,English,
2,Cram Session,,Strixhaven: School of Mages,NM,English,
1,Cranial Archive,,Khans of Tarkir,LP,English,
2,Craven Hulk,,Kaldheim,NM,English,
3,Crawl from the Cellar,,Innistrad Midnight Hunt,NM,English,
1,Crawling Torment,,Kamigawa: Neon Dynasty,NM,English,
1,Crimson Mage,,Masters 25,NM,English,
1,Crimson Muckwader,,Magic 2013,NM,English,
1,Crooked Custodian,,Streets of New Capenna,NM,English,
2,Crossroads Candleguide,,Innistrad Midnight Hunt,NM,English,
2,Cruel Witness,,Innistrad: Crimson Vow,NM,English,
2,Crush Dissent,,War of the Spark,NM,English,
2,Crushing Canopy,,Innistrad: Crimson Vow,NM,English,
3,Crushing Disappointment,,Strixhaven: School of Mages,NM,English,
1,Crypt Lurker,,Core Set 2021,NM,English,
3,Crystacean,,Ikoria: Lair of Behemoths,NM,English,
2,Cunning Geysermage,,Zendikar Rising,NM,English,
1,Curious Pair,,Throne of Eldraine,NM,English,
1,Curse of Shaken Faith,,Innistrad Midnight Hunt,NM,English,
1,Custodi Peacekeeper,,Conspiracy: Take the Crown,NM,English,
1,Custodi Soulbinders,,Commander 2016,NM,English,
1,Custodi Soulcaller,foil,Conspiracy: Take the Crown,NM,English,
1,Cutthroat il-Dal,,Time Spiral Remastered,NM,English,
1,Cyclops Electromancer,,War of the Spark,NM,English,
1,Dack's Duplicate,,Conspiracy,NM,English,
1,Daggersail Aeronaut,,Core Set 2020,NM,English,
1,Dance with Devils,,Shadows Over Innistrad,NM,English,
2,Dapper Shieldmate,,Streets of New Capenna,NM,English,
1,Dark Bargain,foil,Dominaria,NM,English,
2,Dark Bargain,,Ikoria: Lair of Behemoths,NM,English,
1,Dark Favor,,Magic 2013,NM,English,
1,Dark Imposter,,Commander 2017,NM,English,
2,Darkmoss Bridge,,Modern Horizons 2,NM,English,
1,Dauntless Survivor,,Zendikar Rising,NM,English,
2,Davriel's Shadowfugue,,War of the Spark,NM,English,
1,Dawnbringer Cleric,,Adventures in the Forgotten Realms,NM,English,
1,Dawnhart Disciple,,Innistrad: Crimson Vow,NM,English,
1,Dawnhart Mentor,,Innistrad Midnight Hunt,NM,English,
1,Dawnhart Rejuvenator,,Innistrad Midnight Hunt,NM,English,
1,Dawnheart Wardens,,Innistrad Midnight Hunt,NM,English,
1,Daybreak Chaplain,,Core Set 2020,NM,English,
1,Daybreak Chimera,,Theros: Beyond Death,NM,English,
1,Daysquad Marshal,,Ikoria: Lair of Behemoths,NM,English,
1,Dead Weight,foil,Guilds of Ravnica,NM,English,
1,Dead Weight,,Ikoria: Lair of Behemoths,NM,English,
1,Deadly Alliance,,Zendikar Rising,NM,English,
1,Deadly Designs,,Conspiracy: Take the Crown,NM,English,
1,Deal Gone Bad,,Streets of New Capenna,NM,English,
1,Death Wind,foil,Conspiracy: Take the Crown,NM,English,
1,Death-Hood Cobra,,Modern Horizons 2017,NM,English,
1,Deathbloom Thallid,foil,Dominaria,NM,English,
1,Debt to the Kami,,Kamigawa: Neon Dynasty,NM,English,
1,Decimate,,Commander 2016,NM,English,
2,Deepwood Denizen,,Modern Horizons 2,NM,English,
2,Defend the Campus,,Strixhaven: School of Mages,NM,English,
1,Defend the Celestus,,Innistrad Midnight Hunt,NM,English,
2,Defenestrate,,Innistrad Midnight Hunt,NM,English,
1,Defiant Strike,,War of the Spark,NM,English,
2,Defiant Strike,,Core Set 2021,NM,English,
2,Deliberate,,Zendikar Rising,NM,English,
1,Delver's Torch,,Adventures in the Forgotten Realms,NM,English,
1,Demon Bolt,,Kaldheim,NM,English,
2,Demon's Due,,Streets of New Capenna,NM,English,
1,Demonic Gifts,,Kaldheim,NM,English,
2,Deny the Divine,,Theros: Beyond Death,NM,English,
2,Depart the Realm,,Kaldheim,NM,English,
1,Depopulate (Foil) (Prerelease),,Streets of New Capenna Promos,NM,English,
1,Deputized Protester,,Conspiracy: Take the Crown,NM,English,
1,Desecration Demon,,Return to Ravnica,NM,English,
1,Desperate Farmer // Depraved Harvester,,Innistrad: Crimson Vow,NM,English,
1,Desperate Ravings,,Eternal Masters,NM,English,
1,Despoiler of Souls,,Magic Origins,NM,English,
1,Destructive Revelry,,Theros,LP,English,
1,Destructive Tampering,,Core Set 2021,NM,English,
2,Detention Vortex,,Strixhaven: School of Mages,NM,English,
1,Devastating Mastery,foil,Strixhaven: School of Mages Promos,NM,English,
3,Devious Cover-Up,,Innistrad Midnight Hunt,NM,English,
2,Devoted Grafkeeper // Departed Soulkeeper,,Innistrad Midnight Hunt,NM,English,
1,Devoted Paladin,,Adventures in the Forgotten Realms,NM,English,
2,Devour Intellect,,Adventures in the Forgotten Realms,NM,English,
1,Devourer of Memory,,Theros: Beyond Death,NM,English,
1,Devourer of Memory,foil,Dominaria,NM,English,
1,Dictate of Kruphix,,Journey Into Nyx,SP,English,
1,Dimir Guildmage,,Modern Masters 2015,NM,English,
1,Dire Fleet Warmonger,,Core Set 2021,NM,English,
1,Dire-Strain Rampage,foil,Innistrad Midnight Hunt,NM,English,
1,Diregraf Rebirth,,Innistrad Midnight Hunt,NM,English,
2,Discerning Taste,,Modern Horizons 2,NM,English,
1,Disciple of the Sun,,Modern Horizons 2,NM,English,
1,Disciplined Duelist,,Streets of New Capenna,NM,English,
